username,password,first_name,last_name,email,role,telephone,date_naissance
iyed.rachdi,changeme,Iyed,Rachdi,iyed.rachdi@supcom.tn,Enseignant,200000001,1985-01-01
hachem.hadeeji,changeme,Hachem,Hadeeji,hachem.hadeeji@supcom.tn,Enseignant,200000002,1984-02-02
melek.mellouli,changeme,Melek,Mellouli,melek.mellouli@supcom.tn,Enseignant,200000003,1986-03-03
amira.boukhris,changeme,Amira,Boukhris,amira.boukhris@supcom.tn,Enseignant,200000004,1987-04-04
firas.benali,changeme,Firas,Ben Ali,firas.benali@supcom.tn,Enseignant,200000005,1983-05-05
yasmine.trabelsi,changeme,Yasmine,Trabelsi,yasmine.trabelsi@supcom.tn,Enseignant,200000006,1988-06-06
karim.mabrouk,changeme,Karim,Mabrouk,karim.mabrouk@supcom.tn,Enseignant,200000007,1982-07-07
leila.ayari,changeme,Leila,Ayari,leila.ayari@supcom.tn,Enseignant,200000008,1989-08-08
hedi.cherif,changeme,Hédi,Cherif,hedi.cherif@supcom.tn,Enseignant,200000009,1981-09-09
sarra.gharbi,changeme,Sarra,Gharbi,sarra.gharbi@supcom.tn,Enseignant,200000010,1990-10-10
