username,password,first_name,last_name,email,role,telephone,date_naissance
salma.jlassi,changeme,Salma,Jlassi,salma.jlassi@supcom.tn,etudiant,220000001,2001-01-01
karim.hammami,changeme,Karim,Hammami,karim.hammami@supcom.tn,etudiant,220000002,2001-01-02
nour.benammar,changeme,Nour,Ben Ammar,nour.benammar@supcom.tn,etudiant,220000003,2001-01-03
mohamed.ayari,changeme,Mohamed,Ayari,mohamed.ayari@supcom.tn,etudiant,220000004,2001-01-04
marwa.toumi,changeme,Marwa,Toumi,marwa.toumi@supcom.tn,etudiant,220000005,2001-01-05
kais.mrad,changeme,Kais,Mrad,kais.mrad@supcom.tn,etudiant,220000006,2001-01-06
sirine.ferchichi,changeme,Sirine,Ferchichi,sirine.ferchichi@supcom.tn,etudiant,220000007,2001-01-07
anis.ghanmi,changeme,Anis,Ghanmi,anis.ghanmi@supcom.tn,etudiant,220000008,2001-01-08
rahma.bouazizi,changeme,Rahma,Bouazizi,rahma.bouazizi@supcom.tn,etudiant,220000009,2001-01-09
youssef.saadi,changeme,Youssef,Saadi,youssef.saadi@supcom.tn,etudiant,220000010,2001-01-10
rim.trabelsi,changeme,Rim,Trabelsi,rim.trabelsi@supcom.tn,etudiant,220000011,2001-01-11
fares.gharbi,changeme,Fares,Gharbi,fares.gharbi@supcom.tn,etudiant,220000012,2001-01-12
ines.braham,changeme,Ines,Braham,ines.braham@supcom.tn,etudiant,220000013,2001-01-13
aziz.abidi,changeme,Aziz,Abidi,aziz.abidi@supcom.tn,etudiant,220000014,2001-01-14
ahlem.kallel,changeme,Ahlem,Kallel,ahlem.kallel@supcom.tn,etudiant,220000015,2001-01-15
hedia.maalej,changeme,Hedia,Maalej,hedia.maalej@supcom.tn,etudiant,220000016,2001-01-16
nadir.mehri,changeme,Nadir,Mehri,nadir.mehri@supcom.tn,etudiant,220000017,2001-01-17
rayen.zaafouri,changeme,Rayen,Zaafouri,rayen.zaafouri@supcom.tn,etudiant,220000018,2001-01-18
salem.benamor,changeme,Salem,Ben Amor,salem.benamor@supcom.tn,etudiant,220000019,2001-01-19
wassim.bousnina,changeme,Wassim,Bousnina,wassim.bousnina@supcom.tn,etudiant,220000020,2001-01-20
cyrine.dhifallah,changeme,Cyrine,Dhifallah,cyrine.dhifallah@supcom.tn,etudiant,220000021,2001-01-21
malek.fennira,changeme,Malek,Fennira,malek.fennira@supcom.tn,etudiant,220000022,2001-01-22
eya.kacem,changeme,Eya,Kacem,eya.kacem@supcom.tn,etudiant,220000023,2001-01-23
ridha.majdoub,changeme,Ridha,Majdoub,ridha.majdoub@supcom.tn,etudiant,220000024,2001-01-24
ons.nasraoui,changeme,Ons,Nasraoui,ons.nasraoui@supcom.tn,etudiant,220000025,2001-01-25
bachir.souissi,changeme,Bachir,Souissi,bachir.souissi@supcom.tn,etudiant,220000026,2001-01-26
rahma.triki,changeme,Rahma,Triki,rahma.triki@supcom.tn,etudiant,220000027,2001-01-27
sofiene.benhassen,changeme,Sofiene,Ben Hassen,sofiene.benhassen@supcom.tn,etudiant,220000028,2001-01-28
saoussen.bougatef,changeme,Saoussen,Bougatef,saoussen.bougatef@supcom.tn,etudiant,220000029,2001-01-29
nabil.chaari,changeme,Nabil,Chaari,nabil.chaari@supcom.tn,etudiant,220000030,2001-01-30
myriam.dridi,changeme,Myriam,Dridi,myriam.dridi@supcom.tn,etudiant,220000031,2001-01-31
rami.gaddour,changeme,Rami,Gaddour,rami.gaddour@supcom.tn,etudiant,220000032,2001-02-01
dorsaf.hamrouni,changeme,Dorsaf,Hamrouni,dorsaf.hamrouni@supcom.tn,etudiant,220000033,2001-02-02
moez.kefi,changeme,Moez,Kefi,moez.kefi@supcom.tn,etudiant,220000034,2001-02-03
ghofrane.louati,changeme,Ghofrane,Louati,ghofrane.louati@supcom.tn,etudiant,220000035,2001-02-04
aymen.najar,changeme,Aymen,Najar,aymen.najar@supcom.tn,etudiant,220000036,2001-02-05
nejma.saidi,changeme,Nejma,Saidi,nejma.saidi@supcom.tn,etudiant,220000037,2001-02-06
amina.tlig,changeme,Amina,Tlig,amina.tlig@supcom.tn,etudiant,220000038,2001-02-07
sihem.bouaziz,changeme,Sihem,Bouaziz,sihem.bouaziz@supcom.tn,etudiant,220000039,2001-02-08
jamel.benyoussef,changeme,Jamel,Ben Youssef,jamel.benyoussef@supcom.tn,etudiant,220000040,2001-02-09
sirine.khalfallah,changeme,Sirine,Khalfallah,sirine.khalfallah@supcom.tn,etudiant,220000041,2001-02-10
mokhtar.rezgui,changeme,Mokhtar,Rezgui,mokhtar.rezgui@supcom.tn,etudiant,220000042,2001-02-11
yasmine.boukadida,changeme,Yasmine,Boukadida,yasmine.boukadida@supcom.tn,etudiant,220000043,2001-02-12
skander.bensalah,changeme,Skander,Ben Salah,skander.bensalah@supcom.tn,etudiant,220000044,2001-02-13
ali.benammar,changeme,Ali,Ben Ammar,ali.benammar@supcom.tn,etudiant,220000045,2001-02-14
nouri.ayari,changeme,Nouri,Ayari,nouri.ayari@supcom.tn,etudiant,220000046,2001-02-15
